game_date,game_id,away_team,home_team,actual_winner,home_win,home_starter,away_starter,both_starters_known,starter_info_quality,home_starter_era_prior,away_starter_era_prior,starter_era_gap,home_starter_whip_prior,away_starter_whip_prior,starter_whip_gap,home_starter_recent3_era,away_starter_recent3_era,starter_recent3_era_gap,home_starter_recent3_ip,away_starter_recent3_ip,starter_recent3_ip_gap,home_starter_rest_days,away_starter_rest_days,starter_rest_days_gap,home_starter_recent_pitch_count,away_starter_recent_pitch_count,starter_recent_pitch_count_gap,home_bullpen_pitch_count_last1d,away_bullpen_pitch_count_last1d,bullpen_pitch_count_last1d_gap,home_bullpen_pitch_count_last3d,away_bullpen_pitch_count_last3d,bullpen_pitch_count_last3d_gap,home_bullpen_appearances_last3d,away_bullpen_appearances_last3d,bullpen_appearances_last3d_gap,home_previous_game_run_diff,away_previous_game_run_diff,previous_game_run_diff_gap,home_previous_game_bullpen_pitch_count,away_previous_game_bullpen_pitch_count,previous_game_bullpen_usage_gap,lineup_confirmed,lineup_feature_status,key_hitter_feature_status,excluded_leakage_columns,recent_10_win_rate_gap,season_win_rate_gap,season_avg_run_diff_gap,recent_5_runs_avg_gap,recent_5_allowed_avg_gap,recent_5_run_creation_gap,recent_10_run_creation_gap,recent_run_diff_10_gap,venue_win_rate_gap,games_last_7_days_gap,recent_3day_games_gap,rest_days_gap,bullpen_fatigue_score_gap,bullpen_fatigue_gap
2017-04-16,20170416SSLT0,삼성,롯데,삼성,0,,,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,0,2.0,2.0,0.0,,,,False,snapshot_only_not_training,not_available_without_historical_injury_or_lineup_logs,actual_winner;home_win;actual_run_margin;actual_close_game;actual_blowout_game;lineup_snapshot_only;pitching_daily_snapshot_latest,0.6,-0.2308,-2.3846,1.2,1.0,0.0,4.9,4.9,-0.4286,0,0,0.0,0.0,0.0
2017-04-18,20170418HTKT0,KIA,KT,KIA,0,,,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,0,7.0,1.0,6.0,,,,False,snapshot_only_not_training,not_available_without_historical_injury_or_lineup_logs,actual_winner;home_win;actual_run_margin;actual_close_game;actual_blowout_game;lineup_snapshot_only;pitching_daily_snapshot_latest,-0.2,0.5,2.0,-1.8,-2.2,0.2,-1.3,-1.3,0.8333,0,0,0.0,0.0,0.0
2017-04-18,20170418LGHH0,LG,한화,한화,1,,,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,0,9.0,7.0,2.0,,,,False,snapshot_only_not_training,not_available_without_historical_injury_or_lineup_logs,actual_winner;home_win;actual_run_margin;actual_close_game;actual_blowout_game;lineup_snapshot_only;pitching_daily_snapshot_latest,-0.1,0.0,2.3571,-1.0,-4.0,-0.6,-2.4,-2.4,0.7556,0,0,0.0,0.0,0.0
2017-04-18,20170418NCLT0,NC,롯데,NC,0,,,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,0,3.0,4.0,-1.0,,,,False,snapshot_only_not_training,not_available_without_historical_injury_or_lineup_logs,actual_winner;home_win;actual_run_margin;actual_close_game;actual_blowout_game;lineup_snapshot_only;pitching_daily_snapshot_latest,0.0,-0.2143,-1.8571,1.2,-0.8,0.8,2.3,2.3,-0.425,0,0,0.0,0.0,0.0
2017-04-18,20170418WOSK0,넥센,SK,SK,1,,,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,0,9.0,1.0,8.0,,,,False,snapshot_only_not_training,not_available_without_historical_injury_or_lineup_logs,actual_winner;home_win;actual_run_margin;actual_close_game;actual_blowout_game;lineup_snapshot_only;pitching_daily_snapshot_latest,0.2,0.0,-2.2857,4.0,1.4,3.2,1.2,1.2,-0.2917,0,0,0.0,0.0,0.0
2017-04-19,20170419HTKT0,KIA,KT,KT,1,,,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,0,5.0,5.0,0.0,,,,False,snapshot_only_not_training,not_available_without_historical_injury_or_lineup_logs,actual_winner;home_win;actual_run_margin;actual_close_game;actual_blowout_game;lineup_snapshot_only;pitching_daily_snapshot_latest,-0.3,0.4,1.6667,-1.8,-3.0,0.4,-2.5,-2.5,0.5476,0,0,0.0,0.0,0.0
2017-04-19,20170419LGHH0,LG,한화,한화,1,,,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,0,1.0,1.0,0.0,,,,False,snapshot_only_not_training,not_available_without_historical_injury_or_lineup_logs,actual_winner;home_win;actual_run_margin;actual_close_game;actual_blowout_game;lineup_snapshot_only;pitching_daily_snapshot_latest,0.1,-0.4667,-0.8,-1.8,-4.2,-0.6,-1.5,-1.5,-0.3333,0,0,0.0,0.0,0.0
2017-04-19,20170419NCLT0,NC,롯데,NC,0,,,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,0,5.0,5.0,0.0,,,,False,snapshot_only_not_training,not_available_without_historical_injury_or_lineup_logs,actual_winner;home_win;actual_run_margin;actual_close_game;actual_blowout_game;lineup_snapshot_only;pitching_daily_snapshot_latest,-0.1,-0.0667,-1.2667,1.0,-1.4,0.6,0.7,0.7,-0.2222,0,0,0.0,0.0,0.0
2017-04-19,20170419WOSK0,넥센,SK,SK,1,,,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,0,3.0,3.0,0.0,,,,False,snapshot_only_not_training,not_available_without_historical_injury_or_lineup_logs,actual_winner;home_win;actual_run_margin;actual_close_game;actual_blowout_game;lineup_snapshot_only;pitching_daily_snapshot_latest,0.3,0.0,-1.8667,5.2,1.6,3.4,1.1,1.1,-0.2667,0,0,0.0,0.0,0.0
2017-04-19,20170419SSOB0,삼성,두산,두산,1,,,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0,4.0,3.0,1.0,,,,False,snapshot_only_not_training,not_available_without_historical_injury_or_lineup_logs,actual_winner;home_win;actual_run_margin;actual_close_game;actual_blowout_game;lineup_snapshot_only;pitching_daily_snapshot_latest,0.1,-0.2857,-1.7857,1.4,-0.6,1.4,0.6,0.6,-0.4167,0,0,0.0,0.0,0.0
2017-04-20,20170420HTKT0,KIA,KT,KIA,0,,,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,0,2.0,2.0,0.0,,,,False,snapshot_only_not_training,not_available_without_historical_injury_or_lineup_logs,actual_winner;home_win;actual_run_margin;actual_close_game;actual_blowout_game;lineup_snapshot_only;pitching_daily_snapshot_latest,-0.2,0.375,1.8125,-2.0,-2.0,-0.4,-2.0,-2.0,0.4821,0,0,0.0,0.0,0.0
2017-04-20,20170420LGHH0,LG,한화,LG,0,,,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,0,3.0,3.0,0.0,,,,False,snapshot_only_not_training,not_available_without_historical_injury_or_lineup_logs,actual_winner;home_win;actual_run_margin;actual_close_game;actual_blowout_game;lineup_snapshot_only;pitching_daily_snapshot_latest,0.3,-0.4375,-0.4375,-1.2,-3.2,-0.2,-0.5,-0.5,-0.3117,0,0,0.0,0.0,0.0
