prediction_date,train_games_before_date,test_games_on_date,model,feature_set,accuracy,brier,log_loss,over_55_games,over_55_accuracy,predicted_games,correct_games,interpretation
2026-06-16,7339,5,HistGradientBoosting_current_season_rolling,current_operational_feature_set,0.6,0.245,0.683,2,1.0,10,6,예측일 이전 완료 경기만 학습한 2026 rolling backtest
2026-06-16,7339,5,HistGradientBoosting_current_season_rolling,best_non_pitching_candidate,0.6,0.242,0.676,2,1.0,10,6,예측일 이전 완료 경기만 학습한 2026 rolling backtest
2026-06-17,7344,5,HistGradientBoosting_current_season_rolling,current_operational_feature_set,0.6,0.247,0.687,2,1.0,10,6,예측일 이전 완료 경기만 학습한 2026 rolling backtest
2026-06-17,7344,5,HistGradientBoosting_current_season_rolling,best_non_pitching_candidate,0.6,0.243,0.68,2,1.0,10,6,예측일 이전 완료 경기만 학습한 2026 rolling backtest
2026-06-18,7349,4,HistGradientBoosting_current_season_rolling,current_operational_feature_set,0.5,0.248,0.688,4,0.5,8,4,예측일 이전 완료 경기만 학습한 2026 rolling backtest
2026-06-18,7349,4,HistGradientBoosting_current_season_rolling,best_non_pitching_candidate,0.5,0.245,0.683,2,1.0,8,4,예측일 이전 완료 경기만 학습한 2026 rolling backtest
2026-06-19,7353,4,HistGradientBoosting_current_season_rolling,current_operational_feature_set,0.75,0.226,0.644,2,1.0,8,6,예측일 이전 완료 경기만 학습한 2026 rolling backtest
2026-06-19,7353,4,HistGradientBoosting_current_season_rolling,best_non_pitching_candidate,0.75,0.231,0.655,2,1.0,8,6,예측일 이전 완료 경기만 학습한 2026 rolling backtest
2026-06-20,7357,5,HistGradientBoosting_current_season_rolling,current_operational_feature_set,0.6,0.242,0.677,6,0.667,10,6,예측일 이전 완료 경기만 학습한 2026 rolling backtest
2026-06-20,7357,5,HistGradientBoosting_current_season_rolling,best_non_pitching_candidate,0.6,0.244,0.681,4,0.5,10,6,예측일 이전 완료 경기만 학습한 2026 rolling backtest
2026-06-21,7362,5,HistGradientBoosting_current_season_rolling,current_operational_feature_set,0.6,0.244,0.681,4,0.5,10,6,예측일 이전 완료 경기만 학습한 2026 rolling backtest
2026-06-21,7362,5,HistGradientBoosting_current_season_rolling,best_non_pitching_candidate,0.6,0.249,0.691,4,0.5,10,6,예측일 이전 완료 경기만 학습한 2026 rolling backtest
2026-06-23,7367,5,HistGradientBoosting_current_season_rolling,current_operational_feature_set,1.0,0.21,0.613,6,1.0,10,10,예측일 이전 완료 경기만 학습한 2026 rolling backtest
2026-06-23,7367,5,HistGradientBoosting_current_season_rolling,best_non_pitching_candidate,0.8,0.22,0.632,4,1.0,10,8,예측일 이전 완료 경기만 학습한 2026 rolling backtest
2026-06-24,7372,5,HistGradientBoosting_current_season_rolling,current_operational_feature_set,0.6,0.247,0.687,4,0.5,10,6,예측일 이전 완료 경기만 학습한 2026 rolling backtest
2026-06-24,7372,5,HistGradientBoosting_current_season_rolling,best_non_pitching_candidate,0.6,0.247,0.687,4,0.5,10,6,예측일 이전 완료 경기만 학습한 2026 rolling backtest
2026-06-25,7377,5,HistGradientBoosting_current_season_rolling,current_operational_feature_set,0.4,0.247,0.687,6,0.667,10,4,예측일 이전 완료 경기만 학습한 2026 rolling backtest
2026-06-25,7377,5,HistGradientBoosting_current_season_rolling,best_non_pitching_candidate,0.4,0.245,0.682,4,1.0,10,4,예측일 이전 완료 경기만 학습한 2026 rolling backtest
2026-06-26,7382,5,HistGradientBoosting_current_season_rolling,current_operational_feature_set,0.8,0.24,0.673,4,0.5,10,8,예측일 이전 완료 경기만 학습한 2026 rolling backtest
2026-06-26,7382,5,HistGradientBoosting_current_season_rolling,best_non_pitching_candidate,0.6,0.247,0.687,2,0.0,10,6,예측일 이전 완료 경기만 학습한 2026 rolling backtest
